verb,cluster,x,y,z,cluster_center_x,cluster_center_y,cluster_center_z,distance_from_center
cascade,4,0.47498773,-90.86570264,13.543711,4.287947618,-78.4053226,2.960519387,16.78700922
farm,4,-4.065207583,-69.19074483,-8.953808564,4.287947618,-78.4053226,2.960519387,17.22309077
commute,4,19.99354166,-86.1787956,2.567789918,4.287947618,-78.4053226,2.960519387,17.52845695
shop,4,-6.586315454,-64.84785312,-0.061358397,4.287947618,-78.4053226,2.960519387,17.64047396
store,4,-6.630735475,-64.75843071,0.004828309,4.287947618,-78.4053226,2.960519387,17.72544523
tangle,4,0.272798588,-91.90363541,13.86629246,4.287947618,-78.4053226,2.960519387,17.81184316
mine,4,-4.598637213,-67.14327526,-9.779630827,4.287947618,-78.4053226,2.960519387,19.18636307
toy,4,-7.900607593,-63.73885467,0.321898464,4.287947618,-78.4053226,2.960519387,19.2517137
vacation,4,21.72390167,-86.97191276,3.887844512,4.287947618,-78.4053226,2.960519387,19.44887895
slope,4,4.634292725,-87.16505242,20.56060993,4.287947618,-78.4053226,2.960519387,19.66255346
trip,4,22.33108362,-87.27660764,4.709203043,4.287947618,-78.4053226,2.960519387,20.18198081
tour,4,23.26516938,-86.44744277,5.020170833,4.287947618,-78.4053226,2.960519387,20.7135899
journey,4,22.14659125,-88.4291887,6.485264894,4.287947618,-78.4053226,2.960519387,20.78058889
visit,4,22.87454202,-88.03716651,3.611972821,4.287947618,-78.4053226,2.960519387,20.94417102
steep,4,8.543942645,-87.49520407,21.98735246,4.287947618,-78.4053226,2.960519387,21.51185291
treasure,4,-18.83563053,-79.15343705,6.94006215,4.287947618,-78.4053226,2.960519387,23.4754404
molest,5,-23.50444021,70.61597921,-35.63624865,-21.68259717,64.7661256,-37.58445467,6.429261697
handcuff,5,-23.87651523,68.41987571,-32.3390796,-21.68259717,64.7661256,-37.58445467,6.758485473
invade,5,-21.13701236,58.82056315,-43.26272791,-21.68259717,64.7661256,-37.58445467,8.239548693
infiltrate,5,-22.36815515,57.32976721,-43.74545631,-21.68259717,64.7661256,-37.58445467,9.681289022
ransack,5,-26.3854994,72.47754831,-41.10577644,-21.68259717,64.7661256,-37.58445467,9.69448485
